Name,Icon (Male),Icon (Female),Equip Slot,Info,Caption,Weight,Damage Negation (Physical),Damage Negation (VS Strike),Damage Negation (VS Slash),Damage Negation (VS Pierce),Damage Negation (Magic),Damage Negation (Fire),Damage Negation (Lightning),Damage Negation (Holy),Immunity (Poison and Rot),Robustness (Blood),Frost,Focus (Madness),Sleep,Vitality (Death Blight),Poise,Sell Price,Drop Type,Obtainable,ID,Armor Set ID,Armor ID,Icon ID (Male),Icon ID (Female),Armor Category,Sort Group ID,Sort ID,Resident SpEffect ID [1],Resident SpEffect ID [2],Resident SpEffect ID [3],Passive Effect
Shaman Leggings,,-,Leg,%null%,"Leggings fashioned from bristly pelts. Worn by ancestral follower shamans. The ancestral followers live a distance from the Erdtree, awaiting new buds. They are certain to sprout from their very flesh, and indeed, their souls.",3.1,3.0,3.4,3.0,4.5,4.5,4.0,4.5,3.8,39,26,-,34,-,22,1,100,White,Yes,301300,30,1300,13428,13428,3,30,802050,-1,-1,-1,
Godskin Apostle Trousers,,-,Leg,Boots made from tanned Demigod skin,"Trousers made by sewing together patches of smooth skin. Worn by the Godskin Apostles. The apostles, once said to serve Destined Death, are wielders of the god-slaying black flame. But after their defeat by Maliketh, the Black Blade, the source of their power was sealed away.",2.5,3.4,3.0,3.0,1.5,7.2,6.8,7.1,7.9,26,13,-,41,-,39,1,1000,White,Yes,520300,52,0300,13723,13723,3,30,802060,-1,-1,-1,
Godskin Noble Trousers,,-,Leg,Boots made from tanned corpulent Demigod skin,"Trousers made by sewing together patches of smooth skin. Subcutaneous fat makes them plump and soft. Worn by Godskin Nobles. Nobles are the most ancient apostles who are said to have assimilated inhuman physiology. Not unlike the crucible, the Erdtree in its primordial form.",2.5,2.3,4.5,3.0,2.3,7.2,6.5,6.8,7.7,24,14,-,39,-,41,1,1000,White,Yes,530300,53,0300,13733,13733,3,30,802070,-1,-1,-1,
Sanguine Noble Waistcloth,,-,Leg,Waistcloth of dyed black material,"Waistcloth sewn from black cloth. Worn by the nobles who serve the Lord of Blood. Known to strike from pools of blood, these assassins are missionaries come to share the gospel of accursed blood.",2.5,3.0,2.3,2.3,2.3,7.4,6.5,7.3,7.6,29,11,-,44,-,41,1,500,White,Yes,320300,32,0300,13453,13453,3,30,802080,-1,-1,-1,
Leather Trousers,,-,Leg,Well-made leather trousers,Well-made leather trousers. The lower legs are each bound in cord for ease of movement.,5.5,6.5,5.4,6.8,6.8,5.0,5.4,3.4,4.5,16,29,-,11,-,7,8,200,White,Yes,40300,4,0300,13003,13003,3,40,803000,-1,-1,-1,
Leather Boots,,-,Leg,Dirty boots worn by bandits,Lightweight and battle-proven leather boots worn by a savvy soldier. Many admire the wearer of this armor for his chivalrous and forthright spirit.,4.4,4.5,5.4,4.5,5.0,5.4,5.4,5.8,5.8,37,22,-,26,-,31,1,100,White,Yes,1400300,140,0300,14973,14973,3,40,803010,-1,-1,-1,
Warrior Greaves,,-,Leg,Greaves of a nomadic warrior,Greaves of a nomadic warrior. Crafted from sturdy leather.,4.8,5.4,5.4,4.5,4.5,5.8,6.2,6.8,5.4,39,26,-,31,-,31,4,100,White,Yes,670300,67,0300,14033,14033,3,40,803020,-1,-1,-1,
Noble's Trousers,,-,Leg,Trousers of expatriated royalty,"White trousers of superior craftsmanship. Worn by expatriated royalty. A gift of such rare beauty, a royal wouldn't disgrace their illustrious heritage even if found dead, in a ditch, in the middle of nowhere, while wearing such splendid raiment.",3.9,3.4,3.8,3.4,3.8,7.6,7.7,7.4,7.6,29,15,-,47,-,51,1,500,White,Yes,740300,74,0300,14133,14133,3,40,803030,-1,-1,-1,
War Surgeon Trousers,,-,Leg,Physician's trousers made from thick leather,"Bloodstained trousers of the war surgeons who were effectively mercy killers. Of the surgeons that were abducted by the Lord of Blood, none were able to tame the accursed blood. None but Varré, that is; though he was an exception.",4.2,3.9,4.4,4.9,3.9,5.3,5.7,6.1,5.7,33,23,-,28,-,31,3,100,White,Yes,680300,68,0300,14043,14043,3,40,803040,-1,-1,-1,
Nomadic Merchant's Trousers,,-,Leg,Peddler Kalé's trousers,"Trousers of the nomadic merchants. These merchants once thrived as the Great Caravan, but after being accused of heretical beliefs, their entire clan was rounded up and buried alive far underground. Then, they chanted a curse of despair, and summoned the flame of frenzy.",4.4,4.5,5.0,4.0,3.8,5.4,5.4,5.4,5.0,35,20,-,44,-,29,2,100,White,Yes,250300,25,0300,13323,13323,3,40,803050,-1,-1,-1,
Bandit Boots,,-,Leg,Trousers worn by followers of the deadly birds,"Leather boots worn by bandits. Light for ease of movement, and supple for masking sound. In trade, they offer little damage negation.",4.4,4.0,4.5,5.0,5.0,5.4,5.4,5.8,5.0,34,20,-,35,-,35,2,100,White,Yes,930300,93,0300,14533,14533,3,40,803060,-1,-1,-1,
Confessor Boots,,-,Leg,Boots of those who kill for a living,"Leather boots of the church confessors. The churches outside the Lands Between, dedicated to the teachings of the Two Fingers, send confessors out to follow the guidance of grace. The confessors are loyal servants to the Two Fingers, ready to hunt down and quietly dispose of their enemies.",4.8,4.5,5.8,4.5,5.0,6.2,6.2,6.8,5.4,37,29,-,29,-,31,3,100,White,Yes,880300,88,0300,14423,14423,3,40,803070,-1,-1,-1,
Omenkiller Boots,,-,Leg,Boots worn by Executioners,Stiff leather boots worn by the Omenkillers.,4.4,5.0,4.5,4.0,4.0,5.0,5.4,6.5,5.8,41,17,-,29,-,29,4,200,White,Yes,1890300,189,0300,15273,15273,3,40,803080,-1,-1,-1,
Foot Soldier Greaves,,-,Leg,Greaves used by Stormveil Soldiers,Metal greaves that have already been mended countless times. Widely issued to foot soldiers in a lord's army.,5.1,5.4,5.8,5.4,5.4,6.2,6.5,6.8,6.2,39,26,-,34,-,34,4,200,White,Yes,1830300,183,0300,15213,15213,3,50,804000,-1,-1,-1,
Vulgar Militia Greaves,,-,Leg,Boots worn by wandering soldiers,"Greaves worn by lean, mean, and filthy militiamen. Freshly-singed battlegrounds effusing with the stench of the dead. Forbidden lands that will be excised from the memory of history. This is where the vulgar militia serve, as untiring, unsung watchkeepers.",5.1,5.4,6.2,5.8,5.0,6.2,6.2,6.5,6.2,44,24,-,34,-,34,4,10,White,Yes,420300,42,0300,13603,13603,3,50,804010,-1,-1,-1,
Duelist Greaves,,-,Leg,Bronze anklets adorned with snakes,"Greaves encircled by bronze snakes. Worn by gladiators who were driven from the colosseum. The wearer becomes a slightly easier target for foes. The snake is viewed as a traitor to the Erdtree, and the audience delighted in seeing these bronze effigies beaten and battered.",7.3,8.0,7.1,8.0,7.4,5.8,6.8,5.4,6.2,29,31,-,15,-,15,11,200,White,Yes,310300,31,0300,13433,13433,3,50,804020,6031030,-1,-1,
Rotten Duelist Greaves,,-,Head,Scarlet-bronze bracelet depicting coiled snakes,"Greaves wrapped with bronze snakes, eaten through by scarlet rot. Worn by gladiators who were driven from the colosseum. The wearer becomes a slightly easier target for foes.",7.3,7.4,6.2,7.7,7.1,6.2,6.5,5.8,6.2,35,35,-,15,-,15,10,200,White,Yes,2000300,200,0300,15413,15413,3,50,804030,6200030,-1,-1,
Nox Monk Greaves,,-,Leg,Waistcloth worn by members of the Empyrean family,"Greaves worn by the monks of the Eternal City. Long ago, the Nox invoked the ire of the Greater Will, and were banished deep underground. Now they live under a false night sky, in eternal anticipation of their liege. Of the coming age of the stars. And their Lord of Night.",5.1,5.4,5.8,5.4,5.0,7.1,6.8,6.8,5.8,39,26,-,31,-,31,4,200,White,Yes,290300,29,0300,13393,13393,3,50,804040,-1,-1,-1,
Champion Gaiters,,-,Leg,Gaiters formed only of leather straps,Gaiters formed only with leather straps. Common wear in the badlands.,3.9,3.8,5.0,4.0,4.5,4.5,5.4,5.8,5.4,31,20,-,26,-,24,3,100,White,Yes,730300,73,0300,14123,14123,3,50,804050,-1,-1,-1,
Chain Leggings,,-,Leg,Greaves made of woven chain,"Leggings made of woven chain. Standard issue for ordinary soldiers. Though plain in appearance, they offer dependable protection.",5.5,6.8,5.0,7.4,6.8,4.0,6.2,3.4,4.5,16,26,-,7,-,11,7,200,White,Yes,1100300,110,0300,14893,14893,3,60,805000,-1,-1,-1,
Godrick Soldier Greaves,,-,Leg,Greaves used by Stormveil Knights,Greaves worn by soldiers loyal to Godrick the Grafted. Rust-worn and stained through unending conflict.,6.6,7.4,6.5,7.4,7.1,5.8,6.2,4.5,5.4,20,34,-,14,-,14,10,100,White,Yes,1700300,170,0300,15013,15013,3,60,805010,-1,-1,-1,
Raya Lucarian Greaves,,-,Leg,Greaves used by Raya Lucaria Academy Knights,Greaves worn by Raya Lucaria Academy soldiers. Rust-worn and stained through unending conflict.,6.6,7.4,6.2,7.7,7.4,6.2,6.2,4.0,5.0,20,34,-,14,-,14,10,100,White,Yes,1710300,171,0300,15023,15023,3,60,805020,-1,-1,-1,
Radahn Soldier Greaves,,-,Leg,Greaves used by Caelid Wilds Knights,Greaves worn by soldiers who fought by General Radahn's side. Rust-worn and stained through unending conflict.,6.6,7.7,6.2,7.1,6.8,5.8,6.5,4.5,5.4,20,31,-,14,-,15,10,100,White,Yes,1730300,173,0300,15043,15043,3,60,805030,-1,-1,-1,
Leyndell Soldier Greaves,,-,Leg,Greaves used by Capital Knights,Greaves worn by soldiers sworn to defend the royal capital of Leyndell. Rust-worn and stained through unending conflict.,6.6,7.4,6.8,7.1,7.4,5.4,5.8,5.0,5.4,20,34,-,14,-,14,10,100,White,Yes,1720300,172,0300,15033,15033,3,60,805040,-1,-1,-1,
Haligtree Greaves,,-,Leg,Greaves used by Knights of Miquella,Greaves worn by soldiers sworn to the Haligtree. Rust-worn and stained through unending conflict.,6.6,7.4,6.8,7.1,7.4,5.4,5.8,4.5,5.8,20,34,-,14,-,15,9,100,White,Yes,1750300,175,0300,15063,15063,3,60,805050,-1,-1,-1,
Mausoleum Greaves,,-,Leg,Greaves used by Mausoleum Knights,Greaves worn by headless soldiers who endlessly guard the Wandering Mausoleum. Rust-worn and stained through unending conflict.,6.6,7.4,6.2,7.7,7.1,5.8,5.8,5.0,5.8,20,31,-,14,-,13,11,100,White,Yes,1740300,174,0300,15053,15053,3,60,805060,-1,-1,-1,
Exile Greaves,,-,Leg,Iron greaves worn by salt winds and battle,Damaged iron greaves. Worn by soldiers sent to the penal colonies.,5.7,7.1,5.4,7.4,7.1,4.5,6.2,3.8,5.4,17,34,-,13,-,11,8,100,White,Yes,190300,19,0300,13213,13213,3,60,805070,-1,-1,-1,
Kaiden Trousers,,-,Leg,Trousers worn by Kaiden sellswords,"Trousers worn by Kaiden sellswords. These hulking, fearless mercenaries, said to hail from the mountaintops of the wintry north, are adept at fighting on horseback. Kaiden is the name of their home settlement.",5.1,6.5,4.5,6.5,6.5,4.0,4.5,3.8,4.0,15,26,-,7,-,7,7,100,White,Yes,50300,5,0300,13013,13013,3,60,805080,-1,-1,-1,
Land of Reeds Greaves,,-,Leg,Greaves of a warrior from the land of reeds,Greaves wrapped in tough leather. Worn by warriors of the Land of Reeds.,5.1,5.0,5.4,6.8,5.4,5.8,6.5,6.8,6.2,37,31,-,31,-,34,4,200,White,Yes,870300,87,0300,14393,14393,3,60,805090,-1,-1,-1,
White Reed Greaves,,-,Leg,Greaves of a land of reeds veteran warrior,"Greaves of the White Reeds, fashioned from banded iron plates. Worn by the Inaba, head disciples of the great swordsman Okina. The Inaba traveled in pursuit of not only the master who abandoned them, but also proper deaths, won honorably through hard-fought combat. To be a White Reed is to seek death; fitting for the Inaba, who desired nothing more than to die by the sword.",5.1,5.4,5.8,6.5,5.0,6.2,6.2,6.8,5.8,41,26,-,34,-,31,4,200,Purple,Yes,872300,87,2300,14413,14413,3,60,805100,-1,-1,-1,
Ronin's Greaves,,-,Leg,Bloody Finger Hunter Yura's greaves,"Greaves of the man who calls himself Shabriri. Highly functional and heavily worn. The man, once known as Yura, kept a woman in the deepest reaches of his heart.",5.7,6.2,6.2,6.5,6.2,6.8,7.1,7.3,6.8,46,35,-,36,-,38,5,200,White,Yes,150300,15,0300,13143,13143,3,60,805110,-1,-1,-1,
Eccentric's Breeches,,-,Leg,"Deathwatch, Jerren's tights","The knight Jerren's breeches. Jerren preferred a nomadic existence, but after spending time as a guest of the Carian royals, he became the guest commander for General Radahn. And for the first time, the restless tumbleweed would be bound by honorable oath.",5.1,6.5,4.5,6.2,6.5,4.5,5.0,3.0,4.0,15,31,-,7,-,7,6,100,White,Yes,940300,94,0300,14553,14553,3,60,805120,-1,-1,-1,
Blue Silver Mail Skirt,,-,Leg,Chainmail skirt made of motherly silver,"Chainmail skirt crafted with blue silver. Worn by the wolf-riding Albinauric archers. Blue silver is a metal born from the same mother as the archers themselves, and provides protection from magic and frost.",5.5,6.8,5.0,7.1,6.2,5.8,5.4,4.0,4.0,15,35,-,7,-,7,7,500,White,Yes,240300,24,0300,13303,13303,3,60,805130,-1,-1,-1,
Fire Monk Greaves,,-,Leg,Fire Monk greaves which resemble flames,"Black iron greaves featuring a flame motif. Attire of the Fire Monks. The Fire Monks are guardians of the flame of ruin, forbidden by the Erdtree and said to be kept high in the Mountaintops of the Giants.",7.3,8.0,7.1,7.7,7.1,6.2,7.6,5.4,5.4,20,34,-,15,-,15,10,100,White,Yes,350300,35,0300,13503,13503,3,60,805140,-1,-1,-1,
Blackflame Monk Greaves,,-,Leg,Godskin Monk greaves which resemble flames,"Black iron greaves featuring a flame motif. Attire of the Blackflame Monks. The Blackflame Monks, enthralled by the god-slaying black flame, became traitors, abandoning their posts as guardians. The seduction of a taboo is never easily spurned.",7.3,7.7,6.5,8.4,7.4,5.8,7.4,4.5,5.8,20,34,-,13,-,20,11,100,White,Yes,351300,35,1300,13513,13513,3,60,805150,-1,-1,-1,
Zamor Legwraps,,-,Leg,Waistcloth worn by an ancient hero,"Legwraps worn by knights of Zamor, hailed as heroes in the War against the Giants. These long-lived warriors, clad in biting, freezing winds, are said to have been the mortal enemies of the Fire Giants since time immemorial.",5.1,6.5,5.0,6.8,5.8,4.5,4.5,3.0,4.0,11,37,-,0,-,7,7,500,White,Yes,1070300,107,0300,14813,14813,3,60,805160,-1,-1,-1,
Black Knife Greaves,,-,Leg,Greaves used by the Black Blade Assassins,"Greaves used by the Black Knife Assassins. Crafted with scale armor that makes no sound. The assassins that carried out the deeds of the Night of the Black Knives were all women, and rumored to be Numen who had close ties with Marika herself.",5.7,6.5,6.2,7.1,7.1,5.0,5.4,3.8,6.5,17,29,-,14,-,14,8,500,White,Yes,180300,18,0300,13193,13193,3,60,805170,-1,-1,-1,
Malenia's Greaves,,-,Leg,Greaves of Arbitress Malenia,"Greaves made of unalloyed gold. Worn by Malenia, Blade of Miquella. Malenia awaited Miquella at the foot of the husk. ""My brother will keep his promise. He possesses the wisdom, the allure, of a god—he is the most fearsome Empyrean of all.""",5.7,7.1,5.4,7.4,6.5,4.5,5.4,3.8,6.2,31,26,-,11,-,11,8,2000,White,Yes,770300,77,0300,14173,14173,3,60,805180,-1,-1,-1,
Elden Lord Greaves,,-,Leg,"Greaves of Godfrey, the first Elden Lord","Greaves of Godfrey, the first Elden Lord. The age of the Erdtree began amongst conflict, when Godfrey was lord of the battlefield. He led the War against the Giants. Faced the Storm Lord, alone. And then, there came a moment. When his last worthy enemy fell. And it was then, as the story is told, that the hue of Lord Godfrey's eyes faded.",5.5,6.5,5.8,6.2,6.8,4.5,6.2,3.8,4.0,16,31,-,7,-,11,7,2000,White,Yes,460300,46,0300,13653,13653,3,60,805190,-1,-1,-1,
Knight Greaves,,-,Leg,Iron greaves worn by foreign knights,"Iron greaves of an unknown knight. It is made of thin iron plate. Such metal armor is heavy, but provides considerable damage negation.",6.6,7.1,6.8,7.7,7.7,6.2,6.2,5.4,5.0,17,31,-,11,-,11,11,200,White,Yes,1500300,150,0300,14993,14993,3,70,806000,-1,-1,-1,
Vagabond Knight Greaves,,-,Leg,Greaves of a banished knight,"Greaves of a knight banished from their motherland. Dirty and battered after enduring a lengthy vagabond journey. Metal armor is heavy, but also sturdy, offering significant damage negation.",5.7,7.4,5.8,6.8,6.5,5.0,5.8,4.5,4.5,20,34,-,13,-,13,8,100,White,Yes,660300,66,0300,14013,14013,3,70,806010,-1,-1,-1,
Carian Knight Greaves,,-,Leg,Greaves of enchanted Carian knights,"Greaves of the enchanted knights that once served the Carian royal family. The enchanted knights, anointed by the Lunar Queen, were all heroes of the highest honors, but fell into disarray with the decline of the royal family.",6.6,6.8,6.2,7.1,6.8,7.1,6.8,5.4,6.8,17,29,-,13,-,14,7,500,White,Yes,980300,98,0300,14643,14643,3,70,806020,-1,-1,-1,
Godrick Knight Greaves,,-,Leg,Greaves used by Stormveil Elite Knights,Greaves worn by knights loyal to Godrick the Grafted. Time has yet to dull their luster.,7.3,7.7,6.8,8.0,7.4,6.2,6.8,5.4,6.2,22,35,-,15,-,15,11,200,White,Yes,1770300,177,0300,15093,15093,3,70,806030,-1,-1,-1,
Cuckoo Knight Greaves,,-,Leg,Greaves of Raya Lucaria Academy Elite Knights,Greaves worn by Raya Lucaria Academy knights. Time has yet to dull their luster.,7.3,7.7,6.5,8.4,7.7,7.1,6.8,5.0,5.8,20,35,-,15,-,15,11,200,White,Yes,1780300,178,0300,15113,15113,3,70,806040,-1,-1,-1,
Redmane Knight Greaves,,-,Leg,Greaves used by Elite Caelid Wilds Knights,Black iron greaves worn by knights who fought by General Radahn's side. Time has yet to dull their luster.,7.3,7.7,6.5,7.7,7.1,6.2,7.3,5.4,6.2,22,34,-,15,-,15,11,200,White,Yes,1800300,180,0300,15153,15153,3,70,806050,-1,-1,-1,
Gelmir Knight Greaves,,-,Leg,Greaves used by Capital Knights,Greaves worn by knights once loyal to Praetor Rykard. Time has yet to dull their luster.,7.3,7.7,6.5,8.0,7.7,6.2,7.1,5.8,6.2,22,34,-,15,-,14,11,100,Purple,Yes,1760300,176,0300,15073,15073,3,70,806060,-1,-1,-1,
Leyndell Knight Greaves,,-,Leg,Greaves used by Elite Capital Knights,Greaves worn by knights sworn to defend the royal capital of Leyndell. Time has yet to dull their luster.,7.3,7.7,7.1,7.7,7.7,5.8,6.5,5.8,6.2,22,35,-,15,-,15,11,200,White,Yes,1790300,179,0300,15133,15133,3,70,806070,-1,-1,-1,
Haligtree Knight Greaves,,-,Leg,Greaves used by Elite Knights of Miquella,Greaves worn by knights sworn to the Haligtree. Time has yet to dull their luster.,7.3,7.7,7.1,7.7,7.7,5.8,6.5,5.4,6.5,22,35,-,15,-,15,10,200,Purple,Yes,1820300,182,0300,15193,15193,3,70,806080,-1,-1,-1,
Mausoleum Knight Greaves,,-,Leg,Greaves used by Elite Mausoleum Knights,Greaves worn by headless knights who endlessly guard the Wandering Mausoleum. Time has yet to dull their luster.,7.3,7.7,6.5,8.4,7.4,6.2,6.5,5.8,6.5,22,34,-,15,-,14,12,200,White,Yes,1810300,181,0300,15173,15173,3,70,806090,-1,-1,-1,
Bloodhound Knight Greaves,,-,Leg,Beast-like greaves of the Bloodhound Knights,"Metal greaves of the Bloodhound Knights. The Bloodhound Knights are trained as hunters and known to be unshakable trackers. Without the use of language, each knight chooses his own master. Once the decision has been made, the knight stays loyal for life.",6.6,7.1,6.5,8.0,7.7,5.4,5.8,4.0,5.8,20,31,-,14,-,14,8,1000,White,Yes,790300,79,0300,14213,14213,3,70,806100,-1,-1,-1,
Cleanrot Greaves,,-,Leg,Greaves of a Wing Knight. Somewhat decayed...,"Greaves of the Cleanrot Knights, celebrated for their undefeated campaign in the Shattering. The Cleanrot Knights vowed to fight alongside Malenia, despite the inevitable, if gradual, putrefaction of their flesh. Their acceptance of their fate made these battles the fiercest of all.",9.3,8.4,7.6,9.2,10.1,7.2,7.3,6.5,7.7,39,41,-,17,-,20,13,200,White,Yes,340300,34,0300,13483,13483,3,70,806110,-1,-1,-1,
Raging Wolf Greaves,,-,Leg,Greaves of Vargram the Bloody Wolf,"Greaves worn by Vargram the Raging Wolf, one of the first Tarnished to visit the Roundtable Hold. According to the old legends, wolves are the shadows of the Empyrean, and this is what Vargram aspired to be.",6.3,7.5,6.6,7.5,7.2,5.6,6.3,3.8,5.2,19,34,-,11,-,11,9,200,Purple,Yes,860300,86,0300,14373,14373,3,80,807000,-1,-1,-1,
Hoslow's Greaves,,-,Leg,Greaves passed down through the Hoslow family,"Garish silver greaves decorated with red embellishments. Passed down through the Hoslow family. When Juno Hoslow received an invitation to the Volcano Manor, he discreetly refused. ""I have already walked many a road drenched in blood, yet never would I consider myself a champion.""",7.3,8.0,6.8,7.7,7.1,6.2,6.8,5.8,5.8,24,37,-,15,-,15,10,3000,Purple,Yes,650300,65,0300,13993,13993,3,80,807010,-1,-1,-1,
